array dim,nothing_python,nothing_fortran,copy_python,copy_fortran,runs[average]
1,4.51982032E-06,9.95397542E-08,4.31954868E-06,1.69873232E-07,100
10,4.57048418E-06,1.10268594E-07,4.33981404E-06,2.49743465E-07,100
50,4.56035150E-06,1.00135800E-07,4.20033939E-06,7.09891310E-07,100
100,4.58002069E-06,1.00135800E-07,4.43994986E-06,1.23023983E-06,100
500,4.50968764E-06,9.95397542E-08,4.77969661E-06,5.27024258E-06,100
1000,4.61995614E-06,1.00135800E-07,5.50985351E-06,1.03199482E-05,100
5000,4.56988801E-06,1.00135800E-07,1.10703704E-05,5.06603719E-05,100
10000,4.68015651E-06,1.09672548E-07,1.68097013E-05,1.00759862E-04,100
50000,4.59015382E-06,1.00135800E-07,6.31701914E-05,4.97379922E-04,100
100000,4.61041918E-06,1.09672548E-07,2.16850036E-04,1.00865006E-03,100
500000,4.81009465E-06,1.20401381E-07,1.05663005E-03,1.55946019E-03,100
1000000,4.68015651E-06,1.69873232E-07,2.08558026E-03,8.13560502E-04,100